id,name,abbreviation,gender,region_id,type
ligue_1,Ligue 1,L1,men,france,league
coupe_de_france,Coupe de France,CDF,men,france,cup
trophee_des_champions,Trophée des Champions,TdC,men,france,cup
premier_league,Premier League,PL,men,england,league
fa_cup,FA Cup,FAC,men,england,cup
league_cup,League Cup,EFL,men,england,cup
fa_community_shield,FA Community Shield,FACS,men,england,cup
serie_a,Serie A,SA,men,italy,league
coppa_italia,Coppa Italia,CI,men,italy,cup
supercoppa_italiana,Supercoppa Italiana,SI,men,italy,cup
la_liga,La Liga,LL,men,spain,league
copa_del_rey,Copa del Rey,CdR,men,spain,cup
supercopa_de_espana,Supercopa de España,SdE,men,spain,cup
bundesliga,Bundesliga,BL,men,germany,league
dfb_pokal,DFB Pokal,DFB,men,germany,cup
dfl_supercup,DFL Supercup,DFL,men,germany,cup
primeira_liga,Primeira Liga,PRL,men,portugal,league
eredivisie,Eredivisie,ERE,men,netherlands,league
eliteserien,Eliteserien,ELI,men,norway,league
uefa_champions_league,UEFA Champions League,UCL,men,europe,cup
uefa_champions_league_qualifying,UEFA Champions League Qualifying,UCL Q,men,europe,cup
uefa_europa_league,UEFA Europa League,UEL,men,europe,cup
uefa_europa_league_qualifying,UEFA Europa League Qualifying,UEL Q,men,europe,cup
uefa_conference_league,UEFA Conference League,UECL,men,europe,cup
uefa_conference_league_qualifying,UEFA Conference League Qualifying,UECL Q,men,europe,cup
uefa_super_cup,UEFA Super Cup,USC,men,europe,cup
fifa_club_world_cup,FIFA Club World Cup,FCWC,men,world,cup
uefa_euro,UEFA Euro,EURO,men,europe,cup
uefa_euro_qualifying,UEFA Euro Qualifying,EQ,men,europe,cup
uefa_nations_league,UEFA Nations League,UNL,men,europe,cup
fifa_world_cup,FIFA World Cup,WC,men,world,cup
fifa_world_cup_qualifying_uefa,FIFA World Cup Qualifying - UEFA,WCQ UEFA,men,europe,cup
copa_america,Copa América,CA,men,world,cup
africa_cup_of_nations,Africa Cup of Nations,AFCON,men,world,cup
mens_olympic_football_tournament,Men's Olympic Soccer Tournament,OSM,men,world,cup
international_friendly,International Friendly,INT,men,world,cup
fifa_rankings,FIFA Rankings,RANK,men,world,league
uefa_womens_champions_league,UEFA Women's Champions League,UWCL,women,europe,cup
uefa_womens_european_championship,UEFA Women's European Championship,WEURO,women,europe,cup
womens_olympic_football_tournament,Women's Olympic Soccer Tournament,OSW,women,world,cup
fifa_womens_world_cup,FIFA Women's World Cup,WWC,women,world,cup